#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,,,,,,,,,,,,,#,#,,,,,,,,,,,,,#
#,,#,#,#,#,,#,#,#,#,#,,#,#,,#,#,#,#,#,,#,#,#,#,,#
#,,#,#,#,#,,#,#,#,#,#,,#,#,,#,#,#,#,#,,#,#,#,#,,#
#,,#,#,#,#,,#,#,#,#,#,,#,#,,#,#,#,#,#,,#,#,#,#,,#
#,,,,,,,,,,,,,,,,,,,,,,,,,,,#
#,,#,#,#,#,,#,,#,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,,#
#,,#,#,#,#,,#,,#,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,,#
#,,,,,,,#,,,,,,#,#,,,,,#,#,,,,,,,#
#,#,#,#,#,#,,#,#,#,#,#,,#,#,,#,#,#,#,#,,#,#,#,#,#,#
#,#,#,#,#,#,,#,#,#,#,#,,#,#,,#,#,#,#,#,,#,#,#,#,#,#
#,#,#,#,#,#,,#,#,,,,,,,,,,,#,#,,#,#,#,#,#,#
#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#
#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#
,,,,,,,,,,#,#,#,#,#,#,#,#,,,,,,,,,,
#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#
#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#
#,#,#,#,#,#,,#,#,,,,,,,,,,,#,#,,#,#,#,#,#,#
#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#
#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#
#,,,,,,,,,,,,,#,#,,,,,,,,,,,,,#
#,,#,#,#,#,,#,#,#,#,#,,#,#,,#,#,#,#,#,,#,#,#,#,,#
#,,#,#,#,#,,#,#,#,#,#,,#,#,,#,#,#,#,#,,#,#,#,#,,#
#,,,,#,#,,,,,,,,,,,,,,,,,#,#,,,,#
#,#,#,,#,#,,#,#,,#,#,#,#,#,#,#,#,,#,#,,#,#,,#,#,#
#,#,#,,#,#,,#,#,,#,#,#,#,#,#,#,#,,#,#,,#,#,,#,#,#
#,,,,,,,#,#,,,,,#,#,,,,,#,#,,,,,,,#
#,,#,#,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,#,#,,#
#,,#,#,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,#,#,,#
#,,,,,,,,,,,,,,,,,,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
